Unnamed: 0,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location,location
32,2017 Ford Ecosport,TITANIUM 1.5L PETROL AT,Automatic,"41,134 km",1st Owner,Petrol,KA-03,"14,213/month","7,27,000","Sonnappanahalli
",Bangalore
33,2020 Hyundai GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,Manual,"9,414 km",1st Owner,Petrol,KA-01,"13,099/month","6,70,000","GT World Mall, Bengaluru",Bangalore
34,2019 Datsun Go Plus,T(O),Manual,"24,895 km",1st Owner,Petrol,KA-05,"9,697/month","4,96,000","Bellahalli, Bengaluru",Bangalore
35,2016 Maruti Alto K10,VXI,Manual,"65,484 km",3rd Owner,Petrol,KA-50,"6,217/month","3,18,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
36,2018 Maruti Celerio,ZXI D,Manual,"41,594 km",1st Owner,Petrol,KA-05,"9,795/month","5,01,000","Bellahalli, Bengaluru",Bangalore
37,2019 Hyundai Xcent,SX 1.2,Manual,"25,887 km",1st Owner,Petrol,KA-63,"13,451/month","6,88,000","Sonnappanahalli
",Bangalore
38,2020 Renault TRIBER,RXL MT,Manual,"32,937 km",2nd Owner,Petrol,KA-19,"11,476/month","5,87,000","Hosur Road, Singasandra, Bengaluru",Bangalore
39,2012 Honda Brio,V MT,Manual,"97,335 km",2nd Owner,Petrol,KA-22,"5,709/month","2,92,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
40,2017 Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"70,381 km",1st Owner,Petrol,KA-50,"11,046/month","5,65,000","Sonnappanahalli
",Bangalore
41,2016 Hyundai Elite i20,SPORTZ 1.2,Manual,"1,04,885 km",1st Owner,Petrol,KA-05,"11,046/month","5,65,000","Horamavu Agara Road, Bengaluru",Bangalore
42,2015 Maruti Celerio,VXI AMT (O),Automatic,"1,12,268 km",3rd Owner,Petrol,KA-41,"6,784/month","3,47,000","Sonnappanahalli
",Bangalore
43,2013 Hyundai i20,SPORTZ 1.2,Manual,"91,716 km",3rd Owner,Petrol,KA-53,"7,155/month","3,66,000","Bellahalli, Bengaluru",Bangalore
44,2018 Maruti Dzire,VXI AMT,Automatic,"54,137 km",1st Owner,Petrol,KA-05,"12,082/month","6,18,000","Bellahalli, Bengaluru",Bangalore
45,2016 Hyundai Elite i20,ASTA 1.2,Manual,"73,969 km",1st Owner,Petrol,KA-53,"13,411/month","6,86,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
46,2016 Honda Jazz,1.2L I-VTEC SV,Manual,"56,814 km",1st Owner,Petrol,KA-03,"10,518/month","5,38,000","Horamavu Agara Road, Bengaluru",Bangalore
47,2015 Maruti Alto 800,LXI,Manual,"52,425 km",1st Owner,Petrol,KA-41,"6,158/month","3,15,000","Sonnappanahalli
",Bangalore
48,2016 Mahindra TUV300,T8,Manual,"84,575 km",1st Owner,Diesel,KA-05,"14,252/month","7,29,000","Bellahalli, Bengaluru",Bangalore
49,2017 Honda Brio,VX AT,Automatic,"42,509 km",2nd Owner,Petrol,KA-05,"10,244/month","5,24,000","Hosur Road, Singasandra, Bengaluru",Bangalore
50,2018 Hyundai Elite i20,ASTA 1.4 CRDI,Manual,"72,131 km",1st Owner,Diesel,KA-04,"13,783/month","7,05,000","Horamavu Agara Road, Bengaluru",Bangalore
51,2020 Renault TRIBER,RXZ AMT,Automatic,"7,922 km",1st Owner,Petrol,KA-03,"14,487/month","7,41,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
52,2015 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"4,032 km",2nd Owner,Petrol,KA-01,"10,068/month","5,15,000","GT World Mall, Bengaluru",Bangalore
53,2013 Maruti Swift,VDI,Manual,"1,13,498 km",1st Owner,Diesel,KA-19,"8,192/month","4,19,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
54,2017 Maruti Baleno,ZETA PETROL 1.2,Manual,"60,624 km",2nd Owner,Petrol,KA-06,"13,196/month","6,75,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
55,2019 Tata NEXON,XZ+ 1.5,Manual,"67,271 km",1st Owner,Diesel,KA-05,"15,722/month","8,26,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
56,2014 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"40,546 km",1st Owner,Petrol,KA-53,"8,719/month","4,46,000","Bellahalli, Bengaluru",Bangalore
57,2021 KIA SELTOS,HTX 1.5 PETROL,Manual,"7,265 km",1st Owner,Petrol,KA-04,"27,257/month","14,32,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
58,2019 Maruti Ciaz,ALPHA DIESEL 1.5,Manual,"1,22,864 km",2nd Owner,Diesel,KA-02,"14,917/month","7,63,000","Bellahalli, Bengaluru",Bangalore
59,2016 Maruti Swift,ZXI,Manual,"43,946 km",1st Owner,Petrol,KA-51,"13,177/month","6,74,000","GT World Mall, Bengaluru",Bangalore
60,2022 Mahindra Scorpio,S7,Manual,"35,182 km",1st Owner,Diesel,KA-34,"30,949/month","16,26,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
61,2019 Maruti Ciaz,ALPHA  AT 1.5 SHVS PETROL,Automatic,"17,674 km",1st Owner,Petrol,KA-50,"18,920/month","9,94,000","Hosur Road, Singasandra, Bengaluru",Bangalore
62,2011 Hyundai i20,MAGNA (O) 1.2,Manual,"1,48,625 km",2nd Owner,Petrol,KA-51,"5,943/month","3,04,000","Bellahalli, Bengaluru",Bangalore
63,2019 Tata Harrier,XZ 2.0L Kryotec,Manual,"28,315 km",1st Owner,Diesel,KA-05,"31,007/month","16,29,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
64,2014 Maruti Celerio,VXI AMT,Automatic,"99,227 km",1st Owner,Petrol,KA-50,"7,175/month","3,67,000","Bellahalli, Bengaluru",Bangalore
65,2021 Toyota Glanza,V,Manual,"13,898 km",1st Owner,Petrol,KA-51,"15,551/month","8,17,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
66,2019 Mahindra XUV 3OO,W6 1.5 DIESEL,Manual,"29,953 km",1st Owner,Diesel,KA-03,"15,951/month","8,38,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
67,2018 Hyundai Elite i20,ASTA 1.2 (O),Manual,"65,015 km",1st Owner,Petrol,KA-40,"13,842/month","7,08,000","Bellahalli, Bengaluru",Bangalore
68,2019 Hyundai Elite i20,SPORTZ PLUS 1.2,Manual,"65,944 km",2nd Owner,Petrol,KA-20,"12,219/month","6,25,000","Bellahalli, Bengaluru",Bangalore
69,2015 Renault Duster,RXE PETROL,Manual,"67,363 km",2nd Owner,Petrol,KA-51,"10,205/month","5,22,000","Horamavu Agara Road, Bengaluru",Bangalore
70,2021 Maruti Celerio,ZXI AMT,Automatic,"12,364 km",1st Owner,Petrol,KA-04,"11,965/month","6,12,000","Bellahalli, Bengaluru",Bangalore
71,2015 Honda City,1.5L I-VTEC VX CVT,Automatic,"90,333 km",2nd Owner,Petrol,KA-03,"14,252/month","7,29,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
72,2014 Maruti Ertiga,VXI,Manual,"53,766 km",2nd Owner,Petrol,KA-05,"13,118/month","6,71,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
73,2021 Tata Harrier,XT 2.0L KRYOTEC,Manual,"17,841 km",1st Owner,Diesel,KA-51,"31,121/month","16,35,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
74,2017 Honda City,1.5L I-VTEC ZX CVT,Automatic,"62,708 km",1st Owner,Petrol,KA-01,"20,081/month","10,55,000","Bellahalli, Bengaluru",Bangalore
75,2020 Renault TRIBER,RXZ AMT,Automatic,"42,063 km",1st Owner,Petrol,KA-05,"13,685/month","7,00,000","Sonnappanahalli
",Bangalore
76,2015 Maruti Wagon R 1.0,VXI,Manual,"48,394 km",1st Owner,Petrol,KA-55,"7,449/month","3,81,000","Bellahalli, Bengaluru",Bangalore
77,2019 KIA SELTOS,GTK 1.4 PETROL,Manual,"36,307 km",1st Owner,Petrol,KA-41,"23,012/month","12,09,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
78,2015 Hyundai Elite i20,SPORTZ 1.2 (O),Manual,"26,502 km",2nd Owner,Petrol,KA-03,"10,889/month","5,57,000","Bellahalli, Bengaluru",Bangalore
79,2020 Mahindra XUV 3OO,W8 1.2 PETROL,Manual,"45,751 km",3rd Owner,Petrol,KA-27,"15,798/month","8,30,000","GT World Mall, Bengaluru",Bangalore
80,2016 Hyundai i10,MAGNA 1.1,Manual,"29,960 km",1st Owner,Petrol,KA-03,"7,664/month","3,92,000","Bellahalli, Bengaluru",Bangalore
81,2014 Hyundai i20,ASTA 1.4 CRDI,Manual,"41,425 km",1st Owner,Diesel,KA-03,"10,889/month","5,57,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
82,2018 Honda Amaze,1.2L I-VTEC V,Manual,"51,569 km",2nd Owner,Petrol,KA-03,"11,613/month","5,94,000","Horamavu Agara Road, Bengaluru",Bangalore
83,2013 Maruti Swift,VXI,Manual,"92,529 km",1st Owner,Petrol,KA-19,"8,426/month","4,31,000","Bellahalli, Bengaluru",Bangalore
84,2020 Maruti Dzire,VXI,Manual,"30,466 km",1st Owner,Petrol,KA-04,"13,783/month","7,05,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
85,2019 Tata NEXON,XZA PLUS DIESEL,Automatic,"39,154 km",2nd Owner,Diesel,KA-22,"18,920/month","9,94,000","Bellahalli, Bengaluru",Bangalore
86,2016 Hyundai Verna,FLUIDIC 4S 1.6 VTVT S,Manual,"42,094 km",2nd Owner,Petrol,KA-04,"12,551/month","6,42,000","Bellahalli, Bengaluru",Bangalore
87,2022 Hyundai NEW I20 N LINE,N8 1.0 TURBO GDI IMT,Manual,"17,418 km",2nd Owner,Petrol,KA-01,"21,585/month","11,34,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
88,2016 Datsun Redi Go,A,Manual,"60,297 km",2nd Owner,Petrol,KA-09,"5,063/month","2,59,000","Horamavu Agara Road, Bengaluru",Bangalore
89,2017 Maruti Dzire,VDI AMT,Automatic,"83,991 km",1st Owner,Diesel,KA-01,"12,864/month","6,58,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
90,2011 Hyundai i10,SPORTZ 1.2,Manual,"41,802 km",1st Owner,Petrol,KA-53,"6,393/month","3,27,000","Bellahalli, Bengaluru",Bangalore
91,2011 Maruti Swift,VXI,Manual,"60,020 km",1st Owner,Petrol,KA-05,"7,664/month","3,92,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
92,2021 Hyundai GRAND I10 NIOS,MAGNA 1.2 KAPPA VTVT,Manual,"7,266 km",1st Owner,Petrol,KA-16,"12,493/month","6,39,000","Bellahalli, Bengaluru",Bangalore
93,2014 Maruti Swift Dzire,VXI,Manual,"26,627 km",1st Owner,Petrol,KA-41,"9,892/month","5,06,000","Hosur Road, Singasandra, Bengaluru",Bangalore
94,2013 Hyundai Verna,FLUIDIC 1.6 VTVT EX,Manual,"62,799 km",3rd Owner,Petrol,KA-04,"8,641/month","4,42,000","Bellahalli, Bengaluru",Bangalore
95,2014 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"68,810 km",2nd Owner,Petrol,KA-02,"7,664/month","3,92,000","Bellahalli, Bengaluru",Bangalore
96,2015 Hyundai Elite i20,MAGNA 1.2,Manual,"71,332 km",1st Owner,Petrol,KA-04,"10,127/month","5,18,000","Sonnappanahalli
",Bangalore
97,2019 Honda Civic,1.8L I-VTEC VX CVT,Automatic,"63,710 km",1st Owner,Petrol,KA-52,"29,960/month","15,74,000","Bellahalli, Bengaluru",Bangalore
98,2023 Maruti JIMNY,ALPHA ALL GRIP PRO AT,Automatic,"2,013 km",1st Owner,Petrol,KA-03,"33,043/month","17,36,000","Sonnappanahalli
",Bangalore
99,2017 Volkswagen Ameo,HIGHLINE DSG 1.5 DIESEL ,Automatic,"78,752 km",2nd Owner,Diesel,KA-41,"11,026/month","5,64,000","Bellahalli, Bengaluru",Bangalore
100,2021 Toyota Glanza,G,Manual,"13,877 km",1st Owner,Petrol,KA-03,"15,386/month","7,87,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
101,2010 Maruti Ritz,LXI,Manual,"81,225 km",2nd Owner,Petrol,KA-04,"5,435/month","2,78,000","Bellahalli, Bengaluru",Bangalore
102,2023 Hyundai VENUE,SX 1.2 PETROL,Manual,"7,839 km",1st Owner,Petrol,KA-01,"21,280/month","11,18,000","Sonnappanahalli
",Bangalore
103,2017 Hyundai Creta,E PLUS 1.6 PETROL,Manual,"20,134 km",1st Owner,Petrol,KA-04,"18,159/month","9,54,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
104,2016 Hyundai Grand i10,ASTA (O) AT 1.2 KAPPA VTVT,Automatic,"54,659 km",2nd Owner,Petrol,KA-03,"9,365/month","4,79,000","GT World Mall, Bengaluru",Bangalore
105,2016 Hyundai Verna,FLUIDIC 4S 1.6 VTVT SX,Manual,"93,059 km",2nd Owner,Petrol,KA-03,"12,825/month","6,56,000","Sonnappanahalli
",Bangalore
106,2020 Skoda Rapid,ACTIVE 1.0 TSI,Manual,"29,184 km",1st Owner,Petrol,KA-04,"15,621/month","7,99,000","Sonnappanahalli
",Bangalore
107,2016 Hyundai i20 Active,1.2 S,Manual,"68,672 km",2nd Owner,Petrol,KA-53,"11,280/month","5,77,000","Bellahalli, Bengaluru",Bangalore
108,2017 Hyundai Verna,1.6 CRDI SX,Manual,"1,14,521 km",1st Owner,Diesel,KA-13,"14,917/month","7,63,000","Bellahalli, Bengaluru",Bangalore
109,2018 Hyundai Verna,1.6 EX CRDI,Manual,"76,073 km",1st Owner,Diesel,KA-53,"15,513/month","8,15,000","Bellahalli, Bengaluru",Bangalore
110,2013 Maruti Ertiga,ZDI,Manual,"80,267 km",1st Owner,Diesel,KA-04,"14,663/month","7,50,000","Bellahalli, Bengaluru",Bangalore
111,2017 Honda WR-V,1.2L I-VTEC VX MT,Manual,"1,10,630 km",1st Owner,Petrol,KA-02,"14,174/month","7,25,000","GT World Mall, Bengaluru",Bangalore
112,2018 Renault Kwid,CLIMBER 1.0,Manual,"37,418 km",2nd Owner,Petrol,KA-53,"7,429/month","3,80,000","Sonnappanahalli
",Bangalore
113,2015 Maruti Ciaz,ZXI,Manual,"86,851 km",2nd Owner,Petrol,KA-03,"11,183/month","5,72,000","Bellahalli, Bengaluru",Bangalore
114,2021 Hyundai NEW I20,ASTA (O) 1.0 TURBO GDI DCT,Automatic,"14,951 km",1st Owner,Petrol,KA-05,"20,690/month","10,87,000","Bellahalli, Bengaluru",Bangalore
115,2017 Hyundai Creta,E PLUS 1.6 PETROL,Manual,"36,540 km",1st Owner,Petrol,KA-12,"16,940/month","8,90,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
116,2016 Mahindra Kuv100,K8 6 STR,Manual,"72,057 km",1st Owner,Petrol,KA-12,"8,172/month","4,18,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
117,2013 Hyundai i20,MAGNA (O) 1.2,Manual,"77,289 km",1st Owner,Petrol,KA-05,"7,585/month","3,88,000","Horamavu Agara Road, Bengaluru",Bangalore
118,2016 Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"26,923 km",1st Owner,Petrol,KA-03,"9,873/month","5,05,000","Horamavu Agara Road, Bengaluru",Bangalore
119,2016 Hyundai i10,SPORTZ 1.1,Manual,"31,355 km",3rd Owner,Petrol,KA-53,"7,429/month","3,80,000","Bellahalli, Bengaluru",Bangalore
120,2010 Hyundai i10,ERA 1.1,Manual,"43,679 km",1st Owner,Petrol,KA-51,"5,435/month","2,78,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
121,2021 Renault Kiger,RXZ 1.0 MT,Manual,"12,233 km",1st Owner,Petrol,KA-04,"15,151/month","7,75,000","Hosur Road, Singasandra, Bengaluru",Bangalore
122,2011 Hyundai i10,SPORTZ 1.2,Manual,"96,116 km",2nd Owner,Petrol,KA-04,"5,709/month","2,92,000","Bellahalli, Bengaluru",Bangalore
123,2015 Hyundai Elite i20,ASTA 1.2,Manual,"1,02,118 km",2nd Owner,Petrol,KA-02,"9,892/month","5,06,000","Bellahalli, Bengaluru",Bangalore
124,2016 Hyundai Verna,FLUIDIC 4S 1.6 VTVT SX,Manual,"64,099 km",2nd Owner,Petrol,KA-51,"13,587/month","6,95,000","Horamavu Agara Road, Bengaluru",Bangalore
125,2013 Hyundai i20,ASTA 1.2,Manual,"21,644 km",2nd Owner,Petrol,KA-05,"9,032/month","4,62,000","Bellahalli, Bengaluru",Bangalore
126,2017 Hyundai Elite i20,SPORTZ 1.2,Manual,"97,212 km",3rd Owner,Petrol,KA-19,"10,733/month","5,49,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
127,2016 Hyundai Eon,MAGNA +,Manual,"30,906 km",3rd Owner,Petrol,KA-53,"6,061/month","3,10,000","Bellahalli, Bengaluru",Bangalore
128,2013 Hyundai i10,ERA 1.1,Manual,"46,280 km",2nd Owner,Petrol,KA-02,"5,846/month","2,99,000","Hosur Road, Singasandra, Bengaluru",Bangalore
129,2016 Honda Brio,S MT,Manual,"29,457 km",2nd Owner,Petrol,KA-53,"8,465/month","4,33,000","Bellahalli, Bengaluru",Bangalore
130,2018 Volkswagen Ameo,HIGHLINE1.2L PLUS 16 ALLOY,Manual,"35,791 km",1st Owner,Petrol,KA-04,"12,278/month","6,28,000","Hosur Road, Singasandra, Bengaluru",Bangalore
131,2016 Honda Jazz,1.2L I-VTEC V AT,Automatic,"44,154 km",2nd Owner,Petrol,KA-03,"10,714/month","5,48,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
132,2022 KIA CARENS,LUXURY PLUS 1.4 PETROL 6 STR,Manual,"21,173 km",1st Owner,Petrol,KA-19,"30,569/month","16,06,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
133,2016 Hyundai Elite i20,MAGNA 1.2,Manual,"75,268 km",1st Owner,Petrol,KA-20,"10,596/month","5,42,000","Bellahalli, Bengaluru",Bangalore
134,2019 Hyundai New Elantra,2.0 SX AT PETROL,Automatic,"24,185 km",1st Owner,Petrol,KA-53,"28,684/month","15,07,000","Bellahalli, Bengaluru",Bangalore
135,2015 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"33,499 km",3rd Owner,Petrol,KA-04,"8,035/month","4,11,000","GT World Mall, Bengaluru",Bangalore
136,2017 Nissan Micra,XV CVT,Automatic,"46,468 km",3rd Owner,Petrol,KA-01,"8,778/month","4,49,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
137,2020 Hyundai Creta,SX 1.5 PETROL,Manual,"52,422 km",1st Owner,Petrol,KA-41,"26,667/month","14,01,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
138,2012 Hyundai i10,SPORTZ 1.2 AT,Automatic,"31,474 km",1st Owner,Petrol,KA-50,"7,468/month","3,82,000","Hosur Road, Singasandra, Bengaluru",Bangalore
139,2021 Hyundai NEW I20,MAGNA 1.2 MT,Manual,"17,929 km",1st Owner,Petrol,KA-05,"13,900/month","7,11,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
140,2022 Skoda SLAVIA,AMBITION 1.0L TSI MT,Manual,"7,281 km",1st Owner,Petrol,KA-05,"25,848/month","13,58,000","Horamavu Agara Road, Bengaluru",Bangalore
141,2014 Maruti Swift,VXI,Manual,"88,051 km",1st Owner,Petrol,KA-02,"10,068/month","5,15,000","Bellahalli, Bengaluru",Bangalore
142,2012 Maruti Alto 800,LXI,Manual,"48,775 km",2nd Owner,Petrol,KA-05,"4,790/month","2,45,000","GT World Mall, Bengaluru",Bangalore
143,2020 Maruti Baleno,DELTA PETROL 1.2,Manual,"22,438 km",1st Owner,Petrol,KA-04,"14,330/month","7,33,000","Horamavu Agara Road, Bengaluru",Bangalore
144,2018 Ford FREESTYLE,TITANIUM PLUS 1.2 PETROL,Manual,"52,626 km",1st Owner,Petrol,KA-03,"10,850/month","5,55,000","Bellahalli, Bengaluru",Bangalore
145,2020 Toyota YARIS,J CVT,Automatic,"8,828 km",1st Owner,Petrol,KA-51,"16,883/month","8,87,000","Bellahalli, Bengaluru",Bangalore
146,2018 Hyundai Elite i20,MAGNA EXECUTIVE CVT,Automatic,"29,246 km",1st Owner,Petrol,KA-53,"13,802/month","7,06,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
147,2018 Honda City,1.5L I-VTEC V MT,Manual,"25,742 km",2nd Owner,Petrol,KA-01,"15,562/month","7,96,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
148,2017 Hyundai i20 Active,1.2 SX,Manual,"32,345 km",2nd Owner,Petrol,KA-53,"13,001/month","6,65,000","Hosur Road, Singasandra, Bengaluru",Bangalore
149,2012 Hyundai i10,SPORTZ 1.2,Manual,"73,583 km",2nd Owner,Petrol,KA-51,"6,100/month","3,12,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
150,2013 Hyundai i20,MAGNA (O) 1.2,Manual,"66,085 km",1st Owner,Petrol,KA-01,"7,781/month","3,98,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
151,2019 KIA SELTOS,GTX PLUS DCT 1.4 PETROL,Automatic,"24,270 km",2nd Owner,Petrol,KA-01,"27,371/month","14,38,000","Horamavu Agara Road, Bengaluru",Bangalore
152,2018 Mahindra XUV500,W10 AT,Automatic,"97,053 km",1st Owner,Diesel,KA-03,"27,866/month","14,64,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
